name,codesystem,code,ontologyTermURI,definition
assigned U at birth,GSSO,GSSO:009511,http://purl.obolibrary.org/obo/GSSO_009511,An assignment of an 'U' gender shortly after birth. Note that 'U' is only available in certain jurisdictions on birth certificates.
assigned X at birth,GSSO,GSSO:009486,http://purl.obolibrary.org/obo/GSSO_009486,An assignment of an 'X' gender shortly after birth. Note that 'X' is only available in certain jurisdictions on birth certificates.
assigned diverse at birth,GSSO,GSSO:009512,http://purl.obolibrary.org/obo/GSSO_009512,"An assignment of a diverse gender marker shortly after birth. Note that 'diverse' is only available in certain jurisdictions on birth certificates. Further, note that 'diverse' itself is not a gender, but is a legal gender in this context."
assigned eunuch at birth,GSSO,GSSO:009513,http://purl.obolibrary.org/obo/GSSO_009513,"An assignment of a 'eunuch' gender marker shortly after birth. Note that 'eunuch' is only available in certain jurisdictions on birth certificates. Further, note that 'eunuch' itself is not a gender, but is a legal gender in this context. This term may also be offensive depending on the context."
assigned female at birth,GSSO,GSSO:000123,http://purl.obolibrary.org/obo/GSSO_000123,An assignment of a female gender shortly after birth.
assigned indeterminate at birth,GSSO,GSSO:009509,http://purl.obolibrary.org/obo/GSSO_009509,"An assignment of an indeterminate gender marker shortly after birth. Note that 'indeterminate' is only available in certain jurisdictions on birth certificates. Further, note that 'indeterminate' itself is not a gender, but is a legal gender in this context."
assigned intersex at birth,GSSO,GSSO:009488,http://purl.obolibrary.org/obo/GSSO_009488,"An assignment of an intersex gender marker shortly after birth. Note that 'intersex' is only available in certain jurisdictions on birth certificates. Further, note that 'intersex' itself is not a gender, but is a legal gender in this context."
assigned male at birth,GSSO,GSSO:000124,http://purl.obolibrary.org/obo/GSSO_000124,An assignment of a male gender shortly after birth.
assigned no gender at birth,GSSO,GSSO:009487,http://purl.obolibrary.org/obo/GSSO_009487,"Use in situations where no gender was assigned at birth, i.e. no birth certificate was issued shortly after birth or no birth certificate gender was recorded."
assigned nonbinary at birth,GSSO,GSSO:009510,http://purl.obolibrary.org/obo/GSSO_009510,An assignment of a nonbinary gender shortly after birth. Note that 'nonbinary' is only available in certain jurisdictions on birth certificates.
assigned other at birth,GSSO,GSSO:009507,http://purl.obolibrary.org/obo/GSSO_009507,An assignment of an 'other' gender marker shortly after birth. Note that 'other' is only available in certain jurisdictions on birth certificates.
assigned third gender at birth,GSSO,GSSO:009514,http://purl.obolibrary.org/obo/GSSO_009514,"An assignment of a 'third gender' gender marker shortly after birth. Note that 'third gender' is only available in certain jurisdictions on birth certificates. Further, note that 'third gender' itself is not a gender, but is a legal gender in this context. This term may also be offensive depending on the context."
assigned unspecified at birth,GSSO,GSSO:009515,http://purl.obolibrary.org/obo/GSSO_009515,An assignment of an 'unspecified' gender shortly after birth. Note that 'unspecified' is only available in certain jurisdictions on birth certificates.
