name,codesystem,code,ontologyTermURI
Requests further consent for future research,ICO,ICO:0000149,http://purl.obolibrary.org/obo/ICO_0000149
Future research without further consent,DUO,DUO:0000004,http://purl.obolibrary.org/obo/DUO_0000004
