name,codesystem,code,ontologyTermURI,definition
Affected,NCIT,C64917,http://purl.obolibrary.org/obo/NCIT_C64917,To be influenced by or changed.
Unaffected,NCIT,C94232,http://purl.obolibrary.org/obo/NCIT_C94232,To not be influenced by or changed.
